1000	ി
1001	ര
1002	ു
1003	ന്ന
1004	ു
1005	.
1006	ത
1007	ി
1008	ര
1009	ക്ക
1010	ി
1011	ന
1012	ി
1013	ട
1014	യ
1015	ി
1016	ല
1017	ു
1018	ം
1019	ക
1020	ച്ച
1021	വ
1022	ട
1023	ക്ക
1024	ാ
1025	ര
1026	ൻ
1027	്ര
1028	പ
1029	േ
1030	ത
1031	്‌യ
1032	ക
1033	ം
1034	്ര
1035	ശ
1036	ദ്ധ
1037	ി
1038	ച്ച
1039	ു
1040	െ
1041	ക
1042	ാ
1043	ണ്ട
1044	്
1045	േ
1046	ച
1047	ാ
1048	ദ
1049	ി
1050	ച്ചു
1051	.
1052	'
1053	'
1054	സ
1055	ാ
1056	ർ
1057	എ
1058	ന്ത
1059	ാ
1060	ണ
1061	്
1062	േ
1063	വ
1064	ണ്ട
1065	ത
1066	്
1067	?
1068	'
1069	'
1070	'
1071	'
1072	ഒ
1073	ര
1074	ു
1075	റ
1076	ീ
1077	ത്ത
1078	്
1079	.
1080	'
1081	'
1082	'
1083	'
1084	ഉ
1085	ണ്ട
1086	ാ
1087	ക്ക
1088	ി
1089	വ
1090	ച്ച
1091	െ
1092	ത
1093	ല്ല
1094	ാ
1095	ം
1096	ത
1097	ീ
1098	ർ
1099	ന്ന
1100	ു
1101	േ
1102	പ
1103	ാ
1104	യ
1105	ി
1106	സ
1107	ാ
1108	ർ
1109	ഇ
1110	ന്ന
1111	െ
1112	ല
1113	ര
1114	ാ
1115	്ര
1116	ത
1117	ി
1118	ര
1119	ണ്ട
1120	്
1121	െ
1122	ക
1123	ാ
1124	ല
1125	പ
1126	ാ
1127	ത
1128	ക
1129	മ
1130	േ
1131	ല്ല
1132	ന
1133	ട
1134	ന്ന
1135	ത
1136	്
1137	ഇ
1138	േ
1139	പ്പ
1140	ാ
1141	ൾ
1142	സ
1143	മ
1144	ാ
1145	സ
1146	മ
1147	മ
1148	ാ
1149	യ
1150	ി
1151	.
1152	'
1153	'
1154	പ
1155	ു
1156	ക്ക
1157	ാ
1158	ര
1159	
1160	പ
1161	റ
1162	ഞ്ഞ
1163	േ
1164	പ്പ
1165	ാ
1166	ഴ
1167	ാ
1168	ണ
1169	്
1170	ര
1171	ാ
1172	വ
1173	ി
1174	െ
1175	ല
1176	േ
1177	പ
1178	പ്പ
1179	ർ
1180	േ
1181	പ
1182	ാ
1183	ല
1184	ു
1185	ം
1186	േ
1187	ന
1188	ാ
1189	ക്ക
1190	ാ
1191	ല
1192	സ
1193	മ
1194	യ
1195	ം
1196	ക
1197	ി
1198	ട്ട
1199	ി
1200	യ
1201	ി
1202	ല്ല
1203	േ
1204	ല്ല
1205	ാ
1206	െ
1207	യ
1208	േ
1209	ന്ന
1210	ാ
1211	ർ
1212	ത്ത
1213	ത
1214	്
1215	.

